,age,lambda,mu,sigma,3%,10%,25%,50%,75%,90%,97%
0,6.0,2.655110892170538,118.1714055734529,0.0452889273787774,107.2938561405353,110.9526945487167,114.4661497494475,118.1714055734529,121.6937289731115,124.7256250375144,127.6033574474055
1,6.1,2.616770861849877,118.7729028569559,0.04533207921734705,107.8497005061169,111.5191486527593,115.0474483242598,118.7729028569559,122.3184241171524,125.3731906399331,128.274962020754
2,6.2,2.578430831442655,119.3744362467948,0.04537515105244557,108.405674263501,112.0856734142182,115.6287802157853,119.3744362467948,122.943213748592,126.0209533458955,128.9469112597104
3,6.3,2.540090800540974,119.9760977473064,0.04541820356644725,108.9618449155883,112.6523450924725,116.2102295277344,119.9760977473064,123.5681974043232,126.6690195307153,129.6193186155266
4,6.4,2.501750768679496,120.5779841495552,0.04546137242591136,109.5182646191634,113.2192316029631,116.791878519399,120.5779841495552,124.1934855163351,127.3175115858941,130.2923183138522
5,6.5,2.463410735805406,121.1801635804399,0.04550482163842123,110.0749519252491,113.7863688895921,117.3737790793823,121.1801635804399,124.819161484421,127.9665262826837,130.9660203098812
6,6.6,2.425070706310173,121.7823953557732,0.04554901589793426,110.6315657026441,114.3534513125811,117.9556579262956,121.7823953557732,125.4450146120081,128.6158783602844,131.6402635035456
7,6.7,2.386730687298603,122.384250143954,0.04559460438240951,111.1875443007369,114.9199637128546,118.5370425591856,122.384250143954,126.070655328674,129.2652118870643,132.3147237398783
8,6.8,2.348390687386658,122.9851573443554,0.0456421062944849,111.742231056207,115.4852794685973,119.1173341040616,122.9851573443554,126.6955393339342,129.9140051064321,132.9889008950863
9,6.9,2.310050718736208,123.5842127022187,0.04569171445392246,112.2947514218211,116.0485139198825,119.6956382848486,123.5842127022187,127.3187533087764,130.5613375204131,133.6618684651624
10,7.0,2.271710790429793,124.1808071280489,0.0457436618222852,112.8444881065342,116.6090523682547,120.2713430320722,124.1808071280489,127.9396914608589,131.2066068341912,134.3330283192008
