,age,lambda,mu,sigma,3%,10%,25%,50%,75%,90%,97%
0,18.0,-0.1606213886639299,8.09004137850431,0.1276643877641676,6.391940668931254,6.883575079666313,7.426952147784064,8.09004137850431,8.822834499102902,9.548943287354463,10.33459455326351
1,18.1,-0.1614808987374685,8.093237957299952,0.1276324098681809,6.394987146876765,6.886646422794112,7.430068025709969,8.093237957299952,8.826156220683277,9.552428083056071,10.3383010967034
2,18.2,-0.1623405050730019,8.096435514813686,0.127600439982088,6.398034592501598,6.889718746436293,7.433184888017955,8.096435514813686,8.829478908937807,9.555913836870612,10.34200860441517
3,18.3,-0.1632001342673267,8.099633728595068,0.1275684781038924,6.401082738193681,6.892791769700185,7.4363024367025,8.099633728595068,8.832802209755565,9.55940015844909,10.34571664136505
4,18.4,-0.1640597110367134,8.10283226149209,0.1275365242315988,6.404131304323705,6.895865198964207,7.439420360181885,8.10283226149209,8.836125752957424,9.562886639886925,10.34942475319908
5,18.5,-0.1649191600974327,8.106030776352755,0.1275045783632128,6.407180011190317,6.898938740554471,7.442538346845642,8.106030776352755,8.839449168391955,9.566372873325763,10.35313248561401
6,18.6,-0.1657784061657554,8.109228936025062,0.1274726404967401,6.410228579020247,6.902012100744792,7.445656085054577,8.109228936025062,8.842772085935422,9.569858450953452,10.35683938435735
7,18.7,-0.1666373739579518,8.11242640335701,0.1274407106301871,6.413276727968348,6.905084985756745,7.448773263140797,8.11242640335701,8.846094135491757,9.573342965004095,10.36054499522745
8,18.8,-0.1674959881902928,8.115622841196597,0.1274087887615605,6.416324178117744,6.908157101759799,7.451889569407725,8.115622841196597,8.84941494699258,9.576826007758088,10.36424886407366
9,18.9,-0.1683541735790491,8.118817912391826,0.1273768748888677,6.419370649479947,6.911228154871314,7.455004692130167,8.118817912391826,8.8527341503972,9.580307171542154,10.36795053679651
10,19.0,-0.1692118548404913,8.122011279790692,0.1273449690101164,6.422415861994961,6.914297851156663,7.458118319554312,8.122011279790692,8.856051375692589,9.583786048729419,10.37164955934779
11,19.1,-0.1700689566908899,8.125202606241201,0.1273130711233151,6.425459535531417,6.917365896629282,7.461230139897778,8.125202606241201,8.859366252893437,9.58726223173947,10.37534547773089
12,19.2,-0.1709254038465156,8.128391554591344,0.1272811812264724,6.428501389886718,6.920431997250796,7.464339841349656,8.128391554591344,8.862678412042131,9.590735313038442,10.37903783800093
13,19.3,-0.1717811210236392,8.131577787689128,0.1272492993175977,6.43154114478719,6.923495858931077,7.467447112070534,8.131577787689128,8.865987483208762,9.594204885139126,10.38272618626507
14,19.4,-0.1726360329385312,8.134760968382546,0.1272174253947006,6.434578519888218,6.926557187528352,7.470551640192533,8.134760968382546,8.869293096491154,9.597670540601005,10.38641006868278
15,19.5,-0.1734900643074622,8.137940759519601,0.1271855594557915,6.437613234774418,6.929615688849301,7.473653113819372,8.137940759519601,8.872594882014877,9.601131872030466,10.39008903146614
16,19.6,-0.174343139846703,8.141116823948293,0.1271537014988812,6.440645008959823,6.932671068649156,7.476751221026379,8.141116823948293,8.875892469933257,9.604588472080815,10.39376262088022
17,19.7,-0.1751951796204926,8.144288796125101,0.1271218515219868,6.443673538613802,6.935723008040996,7.479845623659916,8.144288796125101,8.879185459319094,9.608039899341838,10.39743034553388
18,19.8,-0.1760460594107205,8.147456040249722,0.1270900095231836,6.446698298268529,6.938770953993261,7.482935734127789,8.147456040249722,8.882473153163126,9.611485387767285,10.40109135515139
19,19.9,-0.1768956304845669,8.150617770907692,0.1270581755005791,6.449718639655361,6.941814223778404,7.486020826708573,8.150617770907692,8.885754690583795,9.614923991658438,10.4047446008554
20,20.0,-0.177743743849458,8.153773201099254,0.1270263494522814,6.452733913036443,6.944852133173705,7.489100174151182,8.153773201099254,8.889029209027298,9.618354763522456,10.40838903179163
21,20.1,-0.17859025051282,8.156921543824653,0.1269945313763993,6.455743468504751,6.947883997834591,7.492173049137925,8.156921543824653,8.892295846004673,9.621776755977535,10.41202359723563
22,20.2,-0.1794350014820791,8.16006201208414,0.1269627212710417,6.458746655984582,6.950909133294958,7.49523872428463,8.16006201208414,8.895553739091904,9.625189021753306,10.41564724659404
23,20.3,-0.1802778477646617,8.163193818877959,0.1269309191343179,6.461742825232233,6.953926854967546,7.498296472140792,8.163193818877959,8.898802025930005,9.628590613691362,10.41925892940588
24,20.4,-0.1811186403679938,8.166316177206356,0.1268991249643378,6.464731325836583,6.956936478144266,7.501345565189667,8.166316177206356,8.9020398442251,9.631980584745772,10.42285759534408
25,20.5,-0.1819572302995019,8.169428300069578,0.1268673387592114,6.467711507219774,6.95993731799665,7.504385275848457,8.169428300069578,8.905266331748582,9.63535798798369,10.42644219421696
26,20.6,-0.182793468566612,8.172529400467871,0.1268355605170495,6.470682718637955,6.962928689576207,7.507414876468465,8.172529400467871,8.90848062633717,9.638721876585969,10.43001167597
27,20.7,-0.1836272061767504,8.175618691401482,0.1268037902359629,6.473644309181984,6.965909907814896,7.51043363933522,8.175618691401482,8.911681865893119,9.642071303847828,10.43356499068757
28,20.8,-0.1844582941373435,8.178695385870657,0.126772027914063,6.476595627778249,6.968880287525541,7.513440836668676,8.178695385870657,8.914869188384301,9.645405323179588,10.43710108859489
29,20.9,-0.1852865833255347,8.181758698209375,0.1267402735494612,6.47953602422308,6.971839144527335,7.516435741845146,8.181758698209375,8.918041733293794,9.64872298966299,10.44061892172095
30,21.0,-0.1861119187458162,8.184807902871208,0.1267085271402543,6.482464894745844,6.974785845234353,7.519417683250115,8.184807902871208,8.921198705503556,9.652023428614251,10.44411751710388
31,21.1,-0.1869341372705275,8.187842357560319,0.1266767886845191,6.485381699959254,6.97771982618224,7.522386065475568,8.187842357560319,8.924339400424929,9.655305862551005,10.44759600558088
32,21.2,-0.1877530751747608,8.190861426095024,0.1266450581803311,6.488285905093687,6.980640528973379,7.525340298663001,8.190861426095024,8.927463120167978,9.658569521218801,10.45105352572239
33,21.3,-0.1885685687336083,8.193864472293637,0.1266133356257661,6.491176975260085,6.983547395120396,7.528279792902799,8.193864472293637,8.930569166897103,9.661813634460552,10.4544892162202
34,21.4,-0.1893804542221623,8.196850859974472,0.1265816210189005,6.494054375450802,6.986439866046693,7.53120395823451,8.196850859974472,8.933656842831224,9.66503743221752,10.45790221589003
35,21.5,-0.1901885679155148,8.19981995295584,0.1265499143578112,6.496917570540521,6.98931738308696,7.534112204646926,8.19981995295584,8.936725450244001,9.668240144530287,10.46129166367417
36,21.6,-0.1909927460887582,8.202771115056063,0.1265182156405753,6.499766025287179,6.992179387487708,7.537003942078358,8.202771115056063,8.939774291464028,9.67142100153979,10.46465669864418
37,21.7,-0.1917928250169845,8.205703710093447,0.1264865248652707,6.50259920433288,6.995025320407835,7.539878580416785,8.205703710093447,8.942802668875073,9.674579233488382,10.46799646000385
38,21.8,-0.1925886409752862,8.20861710188631,0.1264548420299755,6.505416572204942,6.997854622919176,7.542735529500098,8.20861710188631,8.945809884916324,9.67771407072096,10.47131008709208
39,21.9,-0.1933800376325329,8.211510685460128,0.1264231671327778,6.508217619331671,7.00066676326442,7.545574227991022,8.211510685460128,8.94879527633775,9.680824781457547,10.47459676152486
40,22.0,-0.1941669255327005,8.214384138102336,0.1263915001718565,6.511002071347246,7.003461456151721,7.548394375676546,8.214384138102336,8.951758489766956,9.683910975642096,10.47785604617811
41,22.1,-0.194949250752365,8.217237287073992,0.1263598411454378,6.51376977887139,7.006238547252424,7.551195811090643,8.217237287073992,8.954699336476263,9.68697244478628,10.48108770650978
42,22.2,-0.1957269596961915,8.220069961020927,0.1263281900517491,6.516520593658528,7.008997883430214,7.553978374037271,8.220069961020927,8.957617629274903,9.690008982114815,10.48429150990846
43,22.3,-0.1964999987688454,8.222881988588977,0.1262965468890177,6.519254367443753,7.011739311531846,7.556741904309222,8.222881988588977,8.960513180989064,9.693020380889777,10.48746722382451
44,22.4,-0.1972683143749921,8.22567319842397,0.1262649116554714,6.521970951943127,7.014462678387306,7.559486241688151,8.22567319842397,8.963385804461932,9.696006434410938,10.49061461577101
45,22.5,-0.1980318529192969,8.228443419171745,0.1262332843493383,6.524670198853967,7.017167830809981,7.5622112259447,8.228443419171745,8.966235312553831,9.698966936016173,10.49373345332483
46,22.6,-0.1987905608064252,8.231192479478128,0.1262016649688467,6.527351959855113,7.019854615596841,7.564916696838463,8.231192479478128,8.969061518142222,9.701901679081798,10.49682350412762
47,22.7,-0.1995443844410422,8.233920207988959,0.1261700535122249,6.530016086607248,7.022522879528593,7.567602494118145,8.233920207988959,8.971864234121856,9.704810457022996,10.49988453588686
48,22.8,-0.2002932704218472,8.236626439725223,0.1261384499777018,6.532662435842974,7.025172474824432,7.570268463386155,8.236626439725223,8.974643280357634,9.707693070833617,10.50291632456736
49,22.9,-0.2010371717133074,8.239311218860893,0.1261068543634906,6.535291031275392,7.027803432647768,7.572914642641887,8.239311218860893,8.977398704831948,9.710549568889562,10.50591891489797
50,23.0,-0.2017760489261321,8.241974840794038,0.126075266667787,6.537902097253712,7.030415999148189,7.575541301007811,8.241974840794038,8.98013082950462,9.713380296661306,10.50889267436545
51,23.1,-0.2025098631238588,8.24461761580081,0.1260436868887858,6.540495870100603,7.033010433266726,7.578148721323231,8.24461761580081,8.98283999253952,9.716185617182708,10.51183798954255
52,23.2,-0.2032385753700251,8.247239854157352,0.1260121150246823,6.543072586234246,7.035586994006628,7.580737186457974,8.247239854157352,8.985526532078026,9.71896589345511,10.51475524697259
53,23.3,-0.2039621467281687,8.249841866139821,0.1259805510736718,6.545632482168012,7.038145940433219,7.583306979312379,8.249841866139821,8.988190786239024,9.721721488447276,10.51764483316942
