,age,lambda,mu,sigma,3%,10%,25%,50%,75%,90%,97%
0,6.0,-0.04587267618146072,0.5322868912241112,0.260897979047197,0.3276442823540424,0.3819793674630553,0.4467128789777848,0.5322868912241112,0.6351554230526247,0.745553925750268,0.8743535537546225
1,6.1,-0.04862969656670733,0.5344969568277074,0.2607827324627169,0.3291802796982815,0.3836790013019086,0.4486211533270556,0.5344969568277074,0.6377701266351554,0.7486549284684041,0.8780896053933033
2,6.2,-0.0513867170103299,0.5367064463927935,0.2606675367923859,0.3307170658322988,0.3853789989791536,0.4505293322995451,0.5367064463927935,0.6403839491160096,0.7517551562850501,0.8818257005397886
3,6.3,-0.05414373767332031,0.5389159508926001,0.2605523920211831,0.3322550016804809,0.3870797829916558,0.4524379112825816,0.5389159508926001,0.6429975955878339,0.7548554367847222,0.8855628116304665
4,6.4,-0.05690075872741303,0.5411264900430495,0.2604372981328555,0.3337947134248267,0.3887820843816551,0.4543477458880824,0.5411264900430495,0.6456122825719091,0.7579571981160026,0.8893026161817389
5,6.5,-0.05965778037230667,0.543339182322024,0.2603222551101932,0.3353368895446519,0.3904867060380542,0.4562597750700838,0.543339182322024,0.648229344245474,0.7610620068058859,0.8930469548543104
6,6.6,-0.06241480310897108,0.5455562102114502,0.2602072629256961,0.3368828770283114,0.3921952167114409,0.4581758318193367,0.5455562102114502,0.6508513839582071,0.7641729198035286,0.8967994182579337
7,6.7,-0.06517182762211521,0.5477804052185054,0.2600923215456218,0.3384344267038989,0.3939096537161439,0.4600982951356526,0.5477804052185054,0.6534817789540985,0.7672939032580169,0.9005646657717584
8,6.8,-0.06792885463550402,0.5500147731039062,0.2599774309389799,0.3399934007874628,0.3956321820904979,0.4620296915214379,0.5500147731039062,0.6561241138717665,0.7704291675200865,0.9043476455644264
9,6.9,-0.0706858849626775,0.552262710111405,0.2598625910817062,0.3415619068817743,0.3973652503525036,0.4639728767254964,0.552262710111405,0.6587824386453117,0.7735834700407707,0.9081539503604887
10,7.0,-0.07344291952612986,0.5545266367919544,0.2597478019562946,0.3431414532014669,0.3991106076208062,0.4659298880321018,0.5545266367919544,0.661459638797174,0.7767602017027976,0.9119875709942309
11,7.1,-0.07619995941963711,0.5568071202136536,0.2596330635551218,0.3447324035188137,0.4008686706239756,0.4679012061409834,0.5568071202136536,0.6641563886227096,0.7799601571934476,0.9158494516457163
12,7.2,-0.07895700574918213,0.5591045511121336,0.2595183758704405,0.3463350130671642,0.402639729556579,0.4698871637735633,0.5591045511121336,0.6668731519996458,0.7831838842179157,0.9197402469078082
13,7.3,-0.08171405948391636,0.5614197112741379,0.2594037388667325,0.3479497799118484,0.4044243566245425,0.4718884224940369,0.5614197112741379,0.6696108591350302,0.7864324782417383,0.9236612550167438
14,7.4,-0.08447112132889435,0.563753239082465,0.2592891524631172,0.3495771141730066,0.4062230213469603,0.4739055236302988,0.563753239082465,0.6723702690455726,0.7897068338191866,0.9276135387911533
15,7.5,-0.08722819170710419,0.5661045740116729,0.2591746165399074,0.351216682942158,0.4080353296175295,0.475938000812105,0.5661045740116729,0.6751507107688655,0.7930061660273467,0.9315961885317349
16,7.6,-0.089985270920362,0.5684737162948552,0.2590601309562486,0.3528685006327942,0.4098612911438917,0.4779858589436165,0.5684737162948552,0.6779521821750539,0.796330475411497,0.9356092169724626
