,age,lambda,mu,sigma,3%,10%,25%,50%,75%,90%,97%
0,6.0,1.783147494003396,117.5099932691684,0.04139502292972179,108.0619672665361,111.1403695505751,114.1922993156704,117.5099932691684,120.7558944834699,123.6199436444989,126.3970193281531
1,6.1,1.709493509048468,118.0967218095427,0.04156986932112345,108.5897357016015,111.6809369981284,114.751770292856,118.0967218095427,121.3757591736045,124.2741404490823,127.088894824983
2,6.2,1.635848357815707,118.6834815456773,0.04174542482468786,109.1175100352294,112.2214309390665,115.3111567676143,118.6834815456773,121.9959421211261,124.929083048589,127.7821096838717
3,6.3,1.56218791197293,119.2704921010832,0.04192170372393612,109.6455003559182,112.7620624685895,115.8706724002645,119.2704921010832,122.6166741396016,125.5850186637809,128.4769349102041
4,6.4,1.488487595711045,119.8579757058402,0.04209872127305729,110.1739192282407,113.3030451078581,116.4305332912084,119.8579757058402,123.2381890888407,126.242198320859,129.1736465437186
5,6.5,1.414753942866239,120.44612366332,0.04227657498399537,110.7029188698837,113.8445444052983,116.9909171400213,120.44612366332,123.8606944240196,126.9008485211166,129.8724962298755
6,6.6,1.341079201790325,121.0350420664152,0.04245559096825493,111.2324842841944,114.3865930107025,117.5518955235758,121.0350420664152,124.484324640464,127.5611269787382,130.5736650777795
7,6.7,1.267574284512555,121.6248156289277,0.04263614879050704,111.7625601614186,114.9291906508579,118.113513357935,121.6248156289277,125.1091962265791,128.2231747679259,131.2773173957636
8,6.8,1.194397754145931,122.2154482735713,0.04281874191389377,112.2929699889142,115.472232754882,118.6757245911743,122.2154482735713,125.7353501051667,128.8870578848421,131.9835390634731
9,6.9,1.121731320949957,122.8068125397997,0.04300387114057121,112.8234043650025,116.0154838611721,119.238352998834,122.8068125397997,126.3626920938845,129.5527014862041,132.6922671209757
10,7.0,1.049711599023684,123.3983312774412,0.0431916363616472,113.3532522297853,116.5583547660426,119.8008207827357,123.3983312774412,126.9906347474151,130.2195015999884,133.4028768120802
11,7.1,0.9784603435080453,123.9892744261821,0.04338198549481415,113.8818027859188,117.1001382514091,120.3624150292102,123.9892744261821,127.6184207372526,130.8866694833093,134.1145440637101
12,7.2,0.9081259040103324,124.5790360963902,0.043574713176139,114.4084826046996,117.6402630792958,120.9225548071478,124.5790360963902,128.2454052349685,131.5535148725651,134.8265260350387
