,age,lambda,mu,sigma,3%,10%,25%,50%,75%,90%,97%
0,18.0,0.2422788515612747,137.6334313014754,1.090375697480368,8.080848761866516,24.99305680784449,61.22935253323352,137.6334313014754,270.8028883537965,458.5749010662299,727.40835077127
1,18.1,0.2425422133583986,138.0554204290497,1.089931461347959,8.108156897118464,25.08019154991971,61.43381166870459,138.0554204290497,271.548598801515,459.7056160690781,728.9979507647145
2,18.2,0.2428055751558177,138.4775143735939,1.089487472281485,8.135488681365032,25.16741353967332,61.63841863558415,138.4775143735939,272.2940851429307,460.8353886261443,730.5853332537594
3,18.3,0.2430689369533899,138.8996563427573,1.089043643173855,8.162843461112413,25.25471676932922,61.84315258794286,138.8996563427573,273.0392226303983,461.9639935941267,732.1701251391527
4,18.4,0.2433322987509727,139.3217894089933,1.08859988693259,8.190220613137152,25.34209525337342,62.04799265243683,139.3217894089933,273.7838862480862,463.0912054833473,733.7519530323368
5,18.5,0.2435956605484238,139.7438566447556,1.088156116607114,8.217619548664157,25.42954304699349,62.25291798202971,139.7438566447556,274.5279509979982,464.2167989647426,735.3304440869776
6,18.6,0.2438590223456007,140.1658011224977,1.087712245388733,8.24503971343773,25.51705424610294,62.45790775593285,140.1658011224977,275.2712919003686,465.3405488708358,736.9052260003147
7,18.7,0.2441223841423609,140.5875659146732,1.087268186610679,8.272480587775599,25.60462298733304,62.66294117950871,140.5875659146732,276.0137839941794,466.4622301970699,738.4759270152725
8,18.8,0.2443857459385621,141.0090940937357,1.086823853748224,8.299941686605793,25.69224344799107,62.86799748413647,141.0090940937357,276.7553023378084,467.5816181035069,740.0421759233375
9,18.9,0.2446491077340618,141.4303287321386,1.086379160418867,8.32742255948652,25.77990984598559,63.07305592703933,141.4303287321386,277.495722009797,468.6984879168795,741.6036020681802
10,19.0,0.2449124695287176,141.8512129023356,1.085934020382583,8.354922790608944,25.86761643971851,63.27809579107525,141.8512129023356,278.2349181097445,469.8126151330027,743.1598353500301
11,19.1,0.2451758313223871,142.2716896767802,1.085488347542146,8.382441998783026,25.95535752794392,63.483096384489,142.2716896767802,278.9727657593286,470.9237754195395,744.7105062307949
12,19.2,0.2454391931149278,142.691702127926,1.085042055943519,8.409979837406278,26.04312744959342,63.68803704062684,142.691702127926,279.7091401034453,472.0317446191162,746.2552457399063
13,19.3,0.2457025549061972,143.1111933282265,1.084595059776309,8.437535994415635,26.13092058356839,63.89289711761359,143.1111933282265,280.4439163114761,473.1362987527933,747.7936854809042
14,19.4,0.2459659166960531,143.5301063501353,1.084147273374297,8.465110192222248,26.21873134849822,64.0976559979913,143.5301063501353,281.1769695786749,474.2372140238794,749.3254576387433
15,19.5,0.2462292784843529,143.9483842661059,1.083698611216026,8.492702187629424,26.30655420246587,64.30229308832071,143.9483842661059,281.9081751276803,475.3342668220949,750.8501949878147
16,19.6,0.2464926402709542,144.3659701485921,1.083248987925468,8.520311771733573,26.394383642699,64.50678781874439,144.3659701485921,282.6374082101464,476.4272337280802,752.3675309006859
17,19.7,0.2467560020557975,144.7828147021507,1.0827983161352,8.547939289480814,26.48221571153157,64.71112316750917,144.7828147021507,283.3645586996576,477.5159157156295,753.8771370803272
18,19.8,0.2470193638392514,145.1989080538028,1.082346497591763,8.575587807835403,26.57005427922994,64.91530035506406,145.1989080538028,284.0895918213347,478.6002387935833,755.3788803533726
19,19.9,0.2472827256218226,145.6142530218432,1.081893430660068,8.603261303148653,26.65790578626091,65.11932652160988,145.6142530218432,284.812496946979,479.6801689448828,756.8726898494687
20,20.0,0.2475460874040177,146.0288524306556,1.081439013880264,8.63096379880612,26.74577674280013,65.32320887221832,146.0288524306556,285.5332633271554,480.7556718582474,758.3584941898796
21,20.1,0.2478094491863433,146.4427091046238,1.080983145970669,8.658699364883391,26.83367372742289,65.52695467371623,146.4427091046238,286.2518800813219,481.8267129144857,759.8362214699563
22,20.2,0.248072810969306,146.8558258681314,1.080525725829095,8.686472118225778,26.92160338700054,65.73057125438034,146.8558258681314,286.9683361996141,482.8932571921659,761.3057992718053
23,20.3,0.2483361727534125,147.2682055455621,1.080066652534263,8.714286222537941,27.00957243660249,65.93406600363198,147.2682055455621,287.6826205446471,483.9552694733314,762.7671546770433
24,20.4,0.2485995345391693,147.6798509612995,1.079605825347318,8.74214588848315,27.09758765940255,66.13744637173102,147.6798509612995,288.3947218533297,485.0127142492565,764.2202142796442
25,20.5,0.2488628963270832,148.0907649397274,1.07914314371343,8.770055373792918,27.18565590659099,66.340719869469,148.0907649397274,289.104628738696,486.065555726248,765.6649041988653
26,20.6,0.2491262581176608,148.5009503052294,1.078678507263498,8.798018983386632,27.27378409729133,66.54389406786228,148.5009503052294,289.8123296917499,487.1137578314911,767.1011500922698
27,20.7,0.2493896199114086,148.9104098821891,1.078211815815939,8.82604106950171,27.36197921848245,66.74697659784381,148.9104098821891,290.5178130833253,488.1572842189391,768.5288771688332
28,20.8,0.2496529817088459,149.3191502508743,1.077742973468547,8.854126116657678,27.45024879578828,66.94997660833354,149.3191502508743,291.2210751711364,489.1961124868682,769.9480335015783
29,20.9,0.2499163435107851,149.7272650749678,1.077271979291463,8.882280613735382,27.53861133045713,67.15293711820021,149.7272650749678,291.9222976733861,490.2305493530836,771.3591066129482
30,21.0,0.2501797053183326,150.1349354911677,1.076798927544832,8.910513020596355,27.62709630823737,67.35593515445514,150.1349354911677,292.6218484711483,491.2612315842698,772.7631244168538
31,21.1,0.2504430671326079,150.5423464699767,1.076323916509831,8.938831861746245,27.71573369793153,67.55904927161181,150.5423464699767,293.320103283552,492.288809276039,774.1611357167367
32,21.2,0.2507064289547306,150.9496829818971,1.075847044310211,8.967245640198133,27.80455347195281,67.76235806463885,150.9496829818971,294.0174374905199,493.3139313292197,775.5541863873578
33,21.3,0.2509697907858199,151.3571299974315,1.075368408910587,8.995762838221808,27.89358560774967,67.9659401705386,151.3571299974315,294.7142261282983,494.3372454385957,776.94331935494
34,21.4,0.2512331526269956,151.7648724870822,1.074888108114802,9.024391918020001,27.98286008910853,68.1698742697938,151.7648724870822,295.4108438854171,495.3593980828832,778.3295745799073
35,21.5,0.2514965144793769,152.1730954213519,1.074406239564387,9.053141322331484,28.07240690733433,68.37423908768378,152.1730954213519,296.1076650990782,496.3810345159426,779.7139890422275
36,21.6,0.2517598763440835,152.5819837707431,1.073922900737115,9.082019474960667,28.16225606230837,68.57911339546848,152.5819837707431,296.8050637519715,497.4027987592106,781.0975967293014
37,21.7,0.2520232382222346,152.9917225057582,1.07343818894563,9.11103478123359,28.25243756342366,68.78457601144133,152.9917225057582,297.5034134695115,498.4253335953441,782.4814286263951
38,21.8,0.2522866001149499,153.4024965968997,1.072952201336174,9.140195628380097,28.34298143039706,68.9907058018506,153.4024965968997,298.2030875175005,499.4492805630729,783.8665127095928
39,21.9,0.2525499620233222,153.8144883351839,1.072465033886254,9.16951026130221,28.43391725451019,69.19758053342206,153.8144883351839,298.904453422559,500.4752707581837,785.2538592823516
40,22.0,0.2528133239480519,154.2278401782554,1.071976767530182,9.198985056587595,28.52526810410745,69.40526094785395,154.2278401782554,299.6077984308144,501.5037974223079,786.64425792808
41,22.1,0.2530766858895377,154.6426640522236,1.071487471664334,9.228624957318036,28.61705204459408,69.6137947333738,154.6426640522236,300.3133482716206,502.5352481860081,788.038329167529
